order_id,customer_id,order_purchase_timestamp,order_status
O0166,C046,2025-05-20,cancelled
O0167,C165,2024-11-26,shipped
O0168,C071,2024-02-27,shipped
O0169,C015,2025-01-12,shipped
O0170,C158,2025-06-03,cancelled
O0171,C116,2024-07-11,shipped
O0172,C116,2024-04-15,shipped
O0173,C064,2025-03-24,cancelled
O0174,C073,2025-01-31,cancelled
O0175,C017,2024-12-03,delivered
O0176,C039,2024-12-07,delivered
O0177,C168,2025-02-05,processing
O0178,C097,2024-12-02,processing
O0179,C024,2025-03-09,shipped
O0180,C088,2025-05-12,processing
O0181,C026,2025-06-03,delivered
O0182,C153,2025-01-20,processing
O0183,C043,2025-03-24,delivered
O0184,C157,2024-10-18,cancelled
O0185,C050,2025-01-11,cancelled
O0186,C136,2025-03-04,processing
O0187,C014,2025-05-07,shipped
O0188,C032,2024-10-18,delivered
O0189,C038,2025-03-23,delivered
O0190,C107,2024-02-24,cancelled
O0191,C096,2024-08-17,delivered
O0192,C038,2024-05-20,delivered
O0193,C195,2025-04-25,cancelled
O0194,C056,2024-06-02,cancelled
O0195,C013,2024-09-01,cancelled
O0196,C128,2024-01-17,processing
O0197,C091,2024-09-03,cancelled
O0198,C018,2025-06-22,delivered
O0199,C096,2024-09-16,delivered
O0200,C198,2024-12-06,processing
O0201,C200,2025-04-20,cancelled
O0202,C010,2024-10-27,processing
O0203,C080,2025-06-11,cancelled
O0204,C074,2024-12-31,delivered
O0205,C112,2025-02-13,cancelled
O0206,C095,2025-06-15,shipped
O0207,C047,2024-10-27,shipped
O0208,C115,2025-03-12,processing
O0209,C158,2025-03-21,shipped
O0210,C172,2025-02-19,shipped
O0211,C037,2025-03-24,delivered
O0212,C093,2025-01-27,delivered
O0213,C096,2025-03-30,delivered
O0214,C167,2024-10-12,processing
O0215,C100,2024-04-30,shipped
O0216,C074,2025-05-17,processing
O0217,C183,2025-03-31,delivered
O0218,C182,2024-03-07,shipped
O0219,C093,2025-06-04,processing
O0220,C127,2024-01-27,shipped
O0221,C034,2024-03-29,delivered
O0222,C135,2025-02-24,cancelled
O0223,C116,2025-04-22,shipped
O0224,C047,2024-05-12,cancelled
O0225,C133,2024-06-05,shipped
O0226,C089,2025-06-15,shipped
O0227,C071,2024-05-08,shipped
O0228,C152,2024-06-06,processing
O0229,C145,2024-02-12,delivered
O0230,C068,2024-08-03,cancelled
O0231,C075,2024-11-05,cancelled
O0232,C117,2024-03-15,delivered
O0233,C088,2024-05-27,shipped
O0234,C103,2024-05-13,shipped
O0235,C032,2024-09-30,cancelled
O0236,C158,2025-03-04,processing
O0237,C049,2024-06-12,cancelled
O0238,C006,2024-04-02,cancelled
O0239,C091,2024-02-19,delivered
O0240,C074,2024-01-09,delivered
O0241,C196,2025-02-16,shipped
O0242,C093,2024-10-22,delivered
O0243,C160,2024-05-01,processing
O0244,C143,2025-01-09,processing
O0245,C012,2024-02-09,processing
O0246,C039,2025-06-11,processing
O0247,C158,2024-11-02,shipped
O0248,C077,2025-05-01,delivered
O0249,C150,2024-11-11,delivered
O0250,C148,2024-08-21,delivered
O0251,C199,2025-01-24,processing
O0252,C049,2024-01-20,cancelled
O0253,C106,2025-05-28,cancelled
O0254,C054,2024-11-28,cancelled
O0255,C137,2024-12-16,shipped
O0256,C157,2025-05-10,processing
O0257,C198,2024-10-22,processing
O0258,C144,2024-10-07,shipped
O0259,C089,2024-05-29,shipped
O0260,C114,2024-09-19,cancelled
O0261,C179,2024-10-05,processing
O0262,C013,2024-08-19,processing
O0263,C026,2024-05-20,delivered
O0264,C123,2024-07-23,shipped
O0265,C167,2024-08-25,delivered
O0266,C102,2025-05-22,processing
O0267,C003,2024-11-01,delivered
O0268,C135,2025-05-20,processing
O0269,C085,2024-06-15,cancelled
O0270,C076,2024-07-16,processing
O0271,C132,2024-12-01,delivered
O0272,C123,2024-11-27,processing
O0273,C085,2024-11-05,delivered
O0274,C171,2024-05-01,cancelled
O0275,C177,2024-04-30,shipped
O0276,C123,2024-06-05,cancelled
O0277,C121,2024-08-11,processing
O0278,C135,2025-04-02,shipped
O0279,C130,2024-07-26,processing
O0280,C175,2024-07-29,cancelled
O0281,C117,2024-05-15,cancelled
O0282,C186,2024-01-23,cancelled
O0283,C019,2024-02-16,cancelled
O0284,C018,2025-04-28,delivered
O0285,C096,2025-01-26,cancelled
O0286,C035,2024-12-22,delivered
O0287,C187,2024-08-16,delivered
O0288,C109,2025-01-23,processing
O0289,C186,2024-04-25,delivered
O0290,C062,2024-07-30,delivered
O0291,C063,2024-02-15,cancelled
O0292,C036,2025-05-30,shipped
O0293,C148,2024-11-24,processing
O0294,C057,2025-02-27,shipped
O0295,C161,2025-03-13,cancelled
O0296,C135,2024-11-22,cancelled
O0297,C122,2024-09-03,processing
O0298,C015,2025-02-26,cancelled
O0299,C053,2024-12-04,delivered
O0300,C014,2024-10-01,cancelled
O0301,C049,2024-08-10,cancelled
O0302,C055,2024-07-13,delivered
O0303,C179,2024-07-28,cancelled
O0304,C120,2025-01-02,shipped
O0305,C026,2025-04-25,shipped
O0306,C057,2024-05-29,delivered
O0307,C076,2024-06-05,processing
O0308,C128,2024-12-11,shipped
O0309,C118,2024-06-21,shipped
O0310,C139,2024-03-01,delivered
O0311,C106,2024-05-20,processing
O0312,C117,2025-01-17,delivered
O0313,C169,2025-05-14,delivered
O0314,C136,2024-10-08,shipped
O0315,C046,2024-04-19,delivered
O0316,C065,2024-12-28,shipped
O0317,C145,2024-09-06,processing
O0318,C024,2025-02-19,cancelled
O0319,C180,2024-06-24,delivered
O0320,C145,2024-04-07,delivered
O0321,C122,2024-10-04,delivered
O0322,C145,2024-02-03,processing
O0323,C193,2025-02-11,delivered
O0324,C174,2024-12-05,cancelled
O0325,C129,2024-12-20,delivered
O0326,C155,2025-02-10,shipped
O0327,C126,2024-08-21,shipped
O0328,C170,2025-01-24,delivered
O0329,C022,2024-10-01,processing
O0330,C082,2025-01-04,delivered
O0331,C195,2024-10-03,delivered
O0332,C143,2025-06-08,cancelled
O0333,C153,2024-11-28,cancelled
O0334,C186,2024-09-05,processing
O0335,C069,2025-05-19,processing
O0336,C124,2024-03-19,shipped
O0337,C153,2024-07-19,cancelled
O0338,C086,2025-01-24,shipped
O0339,C035,2024-11-03,shipped
O0340,C046,2025-02-11,shipped
O0341,C063,2024-11-29,cancelled
O0342,C145,2024-07-23,processing
O0343,C182,2024-08-02,cancelled
O0344,C173,2025-05-26,processing
O0345,C184,2025-03-09,cancelled
O0346,C103,2025-06-02,cancelled
O0347,C153,2024-03-28,delivered
O0348,C166,2024-02-15,cancelled
O0349,C003,2024-04-10,shipped
O0350,C177,2024-08-14,cancelled
O0351,C177,2025-05-27,processing
O0352,C107,2024-03-28,delivered
O0353,C053,2025-06-17,cancelled
O0354,C082,2024-03-09,shipped
O0355,C166,2024-04-21,processing
O0356,C085,2025-03-12,cancelled
O0357,C164,2025-03-18,cancelled
O0358,C152,2025-03-15,cancelled
O0359,C148,2024-04-14,processing
O0360,C172,2025-05-16,shipped
O0361,C090,2024-12-26,cancelled
O0362,C158,2024-03-27,processing
O0363,C096,2024-05-24,cancelled
O0364,C048,2025-05-13,processing
O0365,C081,2025-04-06,delivered
O0366,C099,2025-06-01,cancelled
O0367,C126,2024-06-20,delivered
O0368,C009,2024-10-08,processing
O0369,C191,2025-05-22,delivered
O0370,C139,2024-02-12,cancelled
O0371,C077,2024-02-03,cancelled
O0372,C031,2024-08-30,processing
O0373,C162,2025-03-14,processing
O0374,C016,2024-12-25,shipped
O0375,C075,2024-09-30,delivered
O0376,C071,2024-05-09,processing
O0377,C195,2025-02-06,cancelled
O0378,C097,2025-04-07,delivered
O0379,C132,2024-10-11,shipped
O0380,C199,2024-04-05,cancelled
O0381,C137,2025-02-11,processing
O0382,C073,2024-12-11,processing
O0383,C012,2024-04-11,cancelled
O0384,C117,2024-01-01,cancelled
O0385,C041,2024-10-07,delivered
O0386,C014,2025-02-09,shipped
O0387,C181,2024-04-07,delivered
O0388,C133,2025-03-31,delivered
O0389,C178,2024-05-15,cancelled
O0390,C027,2024-11-16,shipped
O0391,C165,2024-05-26,delivered
O0392,C113,2024-12-25,processing
O0393,C176,2025-03-29,processing
O0394,C151,2025-01-28,shipped
O0395,C166,2024-03-27,processing
O0396,C200,2024-01-28,shipped
O0397,C076,2024-02-25,processing
O0398,C019,2025-06-24,delivered
O0399,C108,2025-01-09,processing
O0400,C005,2024-03-10,delivered
O0401,C130,2024-10-20,cancelled
O0402,C138,2024-06-05,shipped
O0403,C040,2024-11-30,cancelled
O0404,C080,2025-03-23,processing
O0405,C117,2024-02-26,shipped
O0406,C004,2024-05-20,delivered
O0407,C185,2024-09-22,processing
O0408,C188,2024-04-30,delivered
O0409,C068,2024-03-19,cancelled
O0410,C043,2025-01-11,processing
O0411,C059,2025-06-05,delivered
O0412,C121,2025-01-07,cancelled
O0413,C142,2025-03-05,processing
O0414,C070,2024-03-20,shipped
O0415,C058,2025-06-12,delivered
O0416,C199,2024-11-14,shipped
O0417,C075,2024-11-07,processing
O0418,C188,2024-09-08,processing
O0419,C089,2024-01-10,shipped
O0420,C027,2024-07-29,processing
O0421,C183,2024-10-13,delivered
O0422,C106,2025-01-16,cancelled
O0423,C164,2025-02-07,delivered
O0424,C061,2024-10-25,shipped
O0425,C082,2025-04-08,shipped
O0426,C028,2024-06-08,delivered
O0427,C138,2025-01-01,processing
O0428,C024,2024-06-10,shipped
O0429,C038,2024-04-03,processing
O0430,C067,2024-06-27,delivered
O0431,C064,2024-04-06,cancelled
O0432,C016,2024-08-15,processing
O0433,C150,2024-09-22,delivered
O0434,C033,2024-04-04,shipped
O0435,C147,2025-03-19,cancelled
O0436,C091,2024-08-07,processing
O0437,C158,2024-09-08,shipped
O0438,C023,2024-10-13,cancelled
O0439,C064,2024-01-20,cancelled
O0440,C089,2025-05-29,shipped
O0441,C057,2024-01-31,shipped
O0442,C197,2024-08-26,processing
O0443,C189,2024-02-27,processing
O0444,C045,2024-06-29,processing
O0445,C152,2024-01-29,shipped
O0446,C127,2024-11-12,processing
O0447,C057,2024-01-21,cancelled
O0448,C088,2024-06-30,shipped
O0449,C199,2024-04-23,shipped
O0450,C151,2024-04-13,shipped
O0451,C164,2025-05-13,shipped
O0452,C092,2024-08-16,processing
O0453,C046,2024-01-02,cancelled
O0454,C082,2024-08-14,delivered
O0455,C089,2024-11-23,processing
O0456,C115,2024-01-12,shipped
O0457,C028,2024-01-02,delivered
O0458,C106,2025-05-19,cancelled
O0459,C148,2024-08-18,processing
O0460,C006,2024-11-22,shipped
O0461,C042,2024-03-17,delivered
O0462,C181,2024-02-01,cancelled
O0463,C014,2024-04-13,shipped
O0464,C185,2024-09-28,shipped
O0465,C141,2025-05-17,processing
O0466,C170,2025-05-06,processing
O0467,C021,2025-04-29,delivered
O0468,C024,2025-01-31,processing
O0469,C012,2024-09-26,cancelled
O0470,C016,2024-06-03,delivered
O0471,C194,2024-08-20,delivered
O0472,C176,2025-05-01,processing
O0473,C129,2025-06-13,processing
O0474,C055,2024-07-16,processing
O0475,C052,2024-05-31,shipped
O0476,C023,2025-02-01,cancelled
O0477,C004,2025-06-19,cancelled
O0478,C150,2024-04-12,delivered
O0479,C089,2025-02-24,shipped
O0480,C010,2024-06-25,shipped
O0481,C010,2025-02-09,shipped
O0482,C096,2024-01-21,shipped
O0483,C059,2024-05-17,shipped
O0484,C187,2025-03-02,delivered
O0485,C190,2025-05-11,shipped
O0486,C182,2025-06-02,cancelled
O0487,C008,2024-06-26,processing
O0488,C013,2025-01-04,processing
O0489,C163,2024-05-06,delivered
O0490,C122,2024-12-24,shipped
O0491,C073,2024-01-29,cancelled
O0492,C057,2024-08-18,processing
O0493,C122,2024-05-15,processing
O0494,C079,2024-10-08,cancelled
O0495,C120,2024-11-05,cancelled
O0496,C144,2024-10-16,shipped
O0497,C164,2024-11-28,shipped
O0498,C049,2024-06-02,processing
O0499,C104,2024-11-23,processing
O0500,C067,2025-03-04,cancelled
O0501,C049,2024-12-17,processing
O0502,C130,2024-11-03,processing
O0503,C121,2024-05-11,shipped
O0504,C175,2024-12-09,delivered
O0505,C108,2024-12-05,shipped
O0506,C121,2024-02-24,delivered
O0507,C136,2024-11-01,cancelled
O0508,C088,2025-02-23,cancelled
O0509,C125,2024-12-06,processing
O0510,C054,2024-06-21,processing
O0511,C158,2025-03-20,cancelled
O0512,C010,2024-07-23,shipped
O0513,C049,2024-01-19,delivered
O0514,C080,2024-05-12,delivered
O0515,C012,2024-11-01,shipped
O0516,C112,2024-05-17,shipped
O0517,C005,2024-08-21,processing
O0518,C151,2025-05-31,processing
O0519,C097,2024-09-18,delivered
O0520,C013,2024-04-28,cancelled
O0521,C180,2024-06-05,processing
O0522,C170,2024-04-13,shipped
O0523,C131,2024-04-30,shipped
O0524,C052,2024-09-26,processing
O0525,C141,2025-05-23,processing
O0526,C004,2024-04-01,delivered
O0527,C200,2025-06-07,delivered
O0528,C117,2024-10-30,shipped
O0529,C075,2025-01-03,shipped
O0530,C003,2024-05-21,processing
O0531,C069,2024-04-05,shipped
O0532,C070,2025-01-29,cancelled
O0533,C034,2024-03-01,processing
O0534,C174,2025-03-24,processing
O0535,C176,2024-05-13,cancelled
O0536,C017,2024-09-24,shipped
O0537,C186,2024-08-17,shipped
O0538,C111,2024-09-11,cancelled
O0539,C143,2024-02-25,delivered
O0540,C127,2024-06-18,delivered
O0541,C013,2025-06-03,processing
O0542,C021,2025-04-15,cancelled
O0543,C081,2024-05-01,cancelled
O0544,C010,2024-01-01,delivered
O0545,C144,2024-07-30,cancelled
O0546,C117,2024-12-05,cancelled
O0547,C025,2024-08-15,delivered
O0548,C141,2025-06-18,shipped
O0549,C036,2025-02-23,delivered
O0550,C056,2025-04-13,processing
O0551,C163,2024-05-06,cancelled
O0552,C128,2024-01-05,delivered
O0553,C131,2024-06-30,processing
O0554,C156,2024-11-25,cancelled
O0555,C071,2025-02-11,shipped
O0556,C155,2025-06-08,shipped
O0557,C162,2024-08-10,processing
O0558,C173,2024-05-15,processing
O0559,C195,2024-12-26,cancelled
O0560,C173,2024-10-19,cancelled
O0561,C014,2024-02-27,processing
O0562,C175,2024-09-13,processing
O0563,C009,2025-01-02,cancelled
O0564,C058,2025-02-02,processing
O0565,C178,2024-02-18,cancelled
O0566,C142,2024-02-25,delivered
O0567,C058,2025-01-11,processing
O0568,C046,2024-03-17,processing
O0569,C110,2024-10-12,shipped
O0570,C085,2025-04-22,processing
O0571,C199,2024-11-04,cancelled
O0572,C135,2024-08-13,processing
O0573,C140,2025-02-17,delivered
O0574,C085,2025-01-04,shipped
O0575,C144,2024-01-10,delivered
O0576,C160,2024-09-06,delivered
O0577,C099,2024-09-19,shipped
O0578,C132,2025-06-04,cancelled
O0579,C083,2025-06-10,delivered
O0580,C137,2024-01-08,delivered
O0581,C027,2024-07-29,cancelled
O0582,C007,2025-04-15,shipped
O0583,C143,2024-03-13,processing
O0584,C111,2024-11-19,delivered
O0585,C017,2024-02-16,delivered
O0586,C156,2024-03-29,shipped
O0587,C122,2024-06-09,processing
O0588,C076,2024-05-27,shipped
O0589,C003,2024-05-24,delivered
O0590,C141,2024-03-28,shipped
O0591,C055,2025-02-26,processing
O0592,C050,2024-04-27,processing
O0593,C119,2024-03-15,shipped
O0594,C125,2024-12-04,shipped
O0595,C159,2024-03-12,processing
O0596,C178,2024-06-05,shipped
O0597,C064,2024-08-14,cancelled
O0598,C123,2025-04-18,cancelled
O0599,C045,2024-03-24,shipped
O0600,C187,2024-03-18,delivered
O0601,C104,2024-08-05,delivered
O0602,C121,2024-06-01,shipped
O0603,C035,2025-04-20,delivered
O0604,C158,2024-06-18,processing
O0605,C169,2024-05-29,cancelled
O0606,C017,2024-09-27,shipped
O0607,C100,2025-04-25,cancelled
O0608,C181,2025-06-17,shipped
O0609,C097,2025-01-22,shipped
O0610,C065,2025-01-20,processing
O0611,C125,2025-05-08,delivered
O0612,C020,2025-06-10,shipped
O0613,C184,2024-05-01,processing
O0614,C173,2025-05-05,cancelled
O0615,C006,2024-09-06,delivered
O0616,C011,2024-05-30,delivered
O0617,C154,2024-01-20,shipped
O0618,C124,2024-06-23,processing
O0619,C160,2025-06-07,shipped
O0620,C153,2024-03-11,processing
O0621,C134,2025-05-31,cancelled
O0622,C154,2024-02-09,delivered
O0623,C139,2024-01-02,cancelled
O0624,C110,2024-08-22,cancelled
O0625,C026,2025-03-11,processing
O0626,C073,2025-02-22,shipped
O0627,C148,2025-06-19,delivered
O0628,C105,2025-01-05,delivered
O0629,C138,2025-03-09,shipped
O0630,C106,2025-05-09,processing
O0631,C148,2024-12-18,cancelled
O0632,C192,2024-08-23,cancelled
O0633,C103,2024-12-12,delivered
O0634,C038,2025-04-27,cancelled
O0635,C156,2024-02-08,cancelled
O0636,C015,2024-06-28,cancelled
O0637,C074,2024-07-18,delivered
O0638,C044,2024-02-06,shipped
O0639,C071,2025-02-13,shipped
O0640,C004,2024-03-11,delivered
O0641,C090,2024-12-21,shipped
O0642,C148,2024-01-05,shipped
O0643,C129,2024-10-28,shipped
O0644,C148,2024-09-13,cancelled
O0645,C199,2025-04-14,cancelled
O0646,C018,2025-01-26,processing
O0647,C091,2025-06-12,delivered
O0648,C103,2024-12-16,delivered
O0649,C056,2024-10-02,processing
O0650,C189,2024-07-23,processing
O0651,C052,2024-09-12,shipped
O0652,C174,2025-05-19,delivered
O0653,C096,2024-11-18,cancelled
O0654,C072,2025-02-11,processing
O0655,C123,2024-02-03,shipped
O0656,C031,2025-06-14,cancelled
O0657,C098,2024-04-13,shipped
O0658,C068,2024-08-30,shipped
O0659,C128,2025-03-10,processing
O0660,C072,2025-04-06,processing
O0661,C026,2024-10-03,processing
O0662,C190,2024-06-02,cancelled
O0663,C137,2024-11-19,cancelled
O0664,C102,2024-04-11,processing
O0665,C116,2024-12-08,shipped
O0666,C089,2024-01-21,cancelled
O0667,C051,2024-06-27,shipped
O0668,C021,2025-01-25,shipped
O0669,C164,2024-12-11,cancelled
O0670,C021,2024-06-14,shipped
O0671,C155,2025-02-08,shipped
O0672,C134,2025-04-06,cancelled
O0673,C170,2024-09-14,delivered
O0674,C122,2024-02-25,delivered
O0675,C027,2024-09-25,processing
O0676,C059,2024-09-10,shipped
O0677,C008,2024-02-05,shipped
O0678,C070,2025-03-31,processing
O0679,C162,2025-03-21,shipped
O0680,C114,2024-11-11,shipped
O0681,C134,2024-05-19,shipped
O0682,C194,2025-05-03,shipped
O0683,C060,2024-01-08,shipped
O0684,C064,2024-06-16,cancelled
O0685,C133,2024-10-05,shipped
O0686,C049,2024-03-11,processing
O0687,C116,2024-10-05,cancelled
O0688,C006,2024-07-09,delivered
O0689,C060,2024-04-02,processing
O0690,C128,2025-01-15,cancelled
O0691,C015,2024-09-29,cancelled
O0692,C098,2024-01-13,delivered
O0693,C064,2024-02-04,processing
O0694,C122,2025-02-02,shipped
O0695,C134,2024-05-05,shipped
O0696,C171,2024-08-11,delivered
O0697,C071,2024-05-02,cancelled
O0698,C177,2024-06-07,shipped
O0699,C176,2024-12-12,delivered
O0700,C028,2024-05-08,cancelled
O0701,C113,2024-07-16,delivered
O0702,C011,2025-05-11,cancelled
O0703,C146,2024-07-10,shipped
O0704,C142,2024-06-13,delivered
O0705,C139,2025-01-10,cancelled
O0706,C005,2025-01-07,processing
O0707,C100,2024-07-13,cancelled
O0708,C105,2024-11-25,delivered
O0709,C046,2024-02-02,processing
O0710,C165,2025-02-01,cancelled
O0711,C094,2024-08-14,delivered
O0712,C021,2025-04-24,delivered
O0713,C095,2024-02-29,shipped
O0714,C020,2024-08-09,delivered
O0715,C050,2025-06-22,processing
O0716,C107,2024-04-18,shipped
O0717,C043,2024-07-03,cancelled
O0718,C114,2024-12-26,shipped
O0719,C106,2025-03-16,shipped
O0720,C197,2024-09-17,shipped
O0721,C073,2024-01-17,processing
O0722,C081,2024-01-23,shipped
O0723,C040,2024-04-06,delivered
O0724,C150,2024-09-12,processing
O0725,C146,2024-08-10,delivered
O0726,C177,2024-04-07,shipped
O0727,C200,2024-02-27,shipped
O0728,C198,2024-08-20,delivered
O0729,C135,2024-02-12,shipped
O0730,C040,2024-02-21,cancelled
O0731,C057,2025-03-18,shipped
O0732,C147,2024-02-20,cancelled
O0733,C196,2024-05-18,cancelled
O0734,C051,2025-06-20,processing
O0735,C176,2024-04-01,delivered
O0736,C083,2024-12-18,delivered
O0737,C114,2024-05-29,cancelled
O0738,C040,2024-03-28,delivered
O0739,C074,2024-01-15,shipped
O0740,C006,2024-12-05,processing
O0741,C193,2024-09-21,cancelled
O0742,C097,2025-06-23,delivered
O0743,C070,2024-02-24,cancelled
O0744,C170,2025-01-03,delivered
O0745,C060,2025-01-24,delivered
O0746,C048,2024-07-22,cancelled
O0747,C136,2024-11-08,shipped
O0748,C176,2024-12-26,shipped
O0749,C071,2024-03-04,shipped
O0750,C143,2024-10-13,processing
O0751,C023,2025-01-26,processing
O0752,C155,2024-12-03,cancelled
O0753,C139,2024-07-26,processing
O0754,C111,2024-05-28,processing
O0755,C048,2024-11-21,processing
O0756,C106,2024-11-06,cancelled
O0757,C039,2024-07-11,delivered
O0758,C158,2024-09-30,processing
O0759,C021,2025-05-03,processing
O0760,C048,2025-01-31,cancelled
O0761,C105,2024-01-16,shipped
O0762,C194,2024-07-28,delivered
O0763,C126,2024-11-28,cancelled
O0764,C189,2025-01-24,shipped
O0765,C138,2025-06-21,delivered
O0766,C063,2025-06-15,cancelled
O0767,C049,2024-10-25,cancelled
O0768,C119,2024-06-19,cancelled
O0769,C037,2025-04-19,cancelled
O0770,C179,2024-05-18,cancelled
O0771,C152,2024-07-25,cancelled
O0772,C184,2024-05-06,delivered
O0773,C135,2025-01-28,processing
O0774,C086,2024-06-02,processing
