order_id,product_id,quantity,price,freight_value
O0156,P028,3,3860.01,233.97
O0157,P064,4,3760.37,69.19
O0158,P010,4,2045.65,227.77
O0159,P041,4,2921.22,180.55
O0160,P003,5,4834.38,68.12
O0161,P056,5,4237.97,88.13
O0162,P051,2,4365.57,228.83
O0163,P066,2,3202.8,168.57
O0164,P094,2,4795.29,200.72
O0165,P033,1,1066.63,188.67
O0166,P097,5,2862.3,182.25
O0167,P020,3,2254.84,151.3
O0168,P065,1,463.53,149.29
O0169,P010,1,3258.87,293.66
O0170,P060,1,2943.61,287.18
O0171,P078,1,2430.58,62.24
O0172,P092,1,513.21,200.92
O0173,P068,3,2661.47,64.45
O0174,P100,3,1758.0,187.41
O0175,P072,5,3424.06,99.56
O0176,P075,3,3351.7,276.69
O0177,P077,5,3573.29,43.72
O0178,P086,5,3543.87,285.19
O0179,P003,2,1876.73,70.47
O0180,P029,3,4999.89,63.38
O0181,P085,2,1750.15,234.57
O0182,P021,5,986.15,214.0
O0183,P053,4,1885.07,221.48
O0184,P030,4,2716.65,106.65
O0185,P060,5,3870.25,237.87
O0186,P026,3,4026.17,58.75
O0187,P071,5,4678.04,219.19
O0188,P098,5,885.53,145.81
O0189,P029,1,4101.85,267.7
O0190,P065,1,1932.41,128.13
O0191,P041,3,4661.05,254.97
O0192,P037,2,4595.24,152.29
O0193,P079,3,125.73,42.18
O0194,P015,1,3903.25,86.54
O0195,P082,1,3990.11,147.99
O0196,P092,5,803.53,140.19
O0197,P024,3,3355.42,43.97
O0198,P050,4,4379.32,32.19
O0199,P046,1,3963.75,116.54
O0200,P006,2,1826.27,114.79
O0201,P081,4,993.16,57.76
O0202,P006,3,3976.44,268.02
O0203,P070,2,2419.66,30.25
O0204,P084,3,1726.43,54.85
O0205,P050,4,1761.28,72.31
O0206,P011,5,3662.7,42.1
O0207,P014,3,492.34,205.06
O0208,P089,3,2275.15,145.2
O0209,P082,1,4902.13,285.41
O0210,P066,1,4025.37,210.23
O0211,P017,3,429.44,237.98
O0212,P078,3,851.85,145.98
O0213,P074,3,774.71,122.75
O0214,P015,5,226.98,72.09
O0215,P100,5,1375.42,144.96
O0216,P016,2,765.07,40.73
O0217,P088,3,4841.05,296.24
O0218,P039,2,4271.67,219.31
O0219,P016,2,4927.15,241.78
O0220,P071,5,2904.16,150.87
O0221,P040,4,2050.98,220.74
O0222,P074,1,461.38,292.27
O0223,P017,5,4402.0,238.47
O0224,P065,1,4562.49,35.52
O0225,P022,2,893.64,281.73
O0226,P011,5,1327.97,197.82
O0227,P079,2,2714.04,160.72
O0228,P085,3,3159.95,272.56
O0229,P011,5,322.76,199.61
O0230,P080,5,3231.06,159.45
O0231,P032,3,4042.97,211.8
O0232,P021,2,2254.07,155.59
O0233,P092,3,1664.65,296.65
O0234,P066,4,2852.09,109.35
O0235,P032,4,790.3,34.17
O0236,P021,3,4086.04,281.45
O0237,P066,4,2387.39,266.14
O0238,P065,5,2340.43,87.4
O0239,P037,4,2524.98,267.06
O0240,P056,3,756.28,94.05
O0241,P006,2,2062.85,179.68
O0242,P050,3,2570.85,234.03
O0243,P013,3,2030.13,242.57
O0244,P026,1,3052.07,132.39
O0245,P092,4,1731.9,152.65
O0246,P042,4,4663.71,109.19
O0247,P065,5,4158.62,169.06
O0248,P048,4,1723.07,50.69
O0249,P077,5,2425.49,290.78
O0250,P075,5,2454.2,166.79
O0251,P088,1,1286.76,180.32
O0252,P041,2,2152.02,135.63
O0253,P095,5,3664.27,217.62
O0254,P068,4,1946.44,287.87
O0255,P087,3,3882.75,221.86
O0256,P032,3,1467.13,103.58
O0257,P089,3,3554.44,108.77
O0258,P016,4,2910.04,172.09
O0259,P006,3,1509.39,219.96
O0260,P028,5,1090.13,170.8
O0261,P014,2,3116.82,184.31
O0262,P007,4,590.97,112.48
O0263,P071,4,4891.76,64.22
O0264,P042,1,1498.54,36.57
O0265,P023,1,2147.64,254.53
O0266,P096,1,4814.44,279.29
O0267,P043,5,1494.35,296.95
O0268,P065,1,2393.3,73.99
O0269,P083,3,1360.6,72.14
O0270,P079,4,4295.12,271.17
O0271,P052,2,3379.35,71.74
O0272,P001,3,1377.85,85.95
O0273,P034,1,3303.05,213.98
O0274,P040,3,882.61,212.1
O0275,P048,2,3111.66,81.36
O0276,P096,5,4945.31,124.61
O0277,P088,1,3798.22,264.48
O0278,P010,5,4594.5,51.42
O0279,P022,1,1707.78,165.7
O0280,P012,1,4504.56,144.74
O0281,P059,3,2863.16,176.46
O0282,P033,5,4100.62,228.83
O0283,P045,1,3531.89,171.53
O0284,P037,4,2103.45,235.31
O0285,P049,5,1940.66,211.16
O0286,P023,2,4964.95,130.06
O0287,P097,5,211.4,103.54
O0288,P032,2,2357.06,63.43
O0289,P085,1,2154.28,234.49
O0290,P013,1,3010.33,145.0
O0291,P057,1,1248.26,80.84
O0292,P030,3,4097.35,224.82
O0293,P039,5,4393.67,295.99
O0294,P036,2,398.69,285.59
O0295,P007,4,4864.22,283.64
O0296,P053,5,831.17,125.41
O0297,P039,4,4301.95,60.42
O0298,P072,3,2696.96,128.76
O0299,P058,2,4250.95,45.89
O0300,P087,1,3064.35,31.07
O0301,P027,1,4360.42,113.23
O0302,P096,2,4997.9,154.1
O0303,P031,4,2805.19,237.14
O0304,P034,4,1862.26,267.19
O0305,P027,5,1916.45,135.9
O0306,P034,4,2811.23,183.53
O0307,P043,2,1227.09,179.54
O0308,P098,4,4125.8,290.62
O0309,P022,2,785.8,173.03
O0310,P010,1,4731.42,207.1
O0311,P009,5,3565.13,22.56
O0312,P080,4,3224.87,281.49
O0313,P001,1,2707.84,135.17
O0314,P003,4,2560.86,215.4
O0315,P068,5,829.6,73.74
O0316,P051,4,487.19,288.6
O0317,P039,1,3451.8,257.4
O0318,P049,1,2808.24,35.71
O0319,P064,3,4242.12,200.57
O0320,P030,5,1135.94,263.07
O0321,P010,5,3453.7,98.5
O0322,P041,2,176.72,78.0
O0323,P039,4,896.01,87.33
O0324,P097,1,3724.75,241.34
O0325,P013,3,2241.73,254.83
O0326,P004,4,3207.2,239.39
O0327,P071,5,4711.6,140.92
O0328,P099,1,3131.22,243.46
O0329,P049,4,3587.22,197.49
O0330,P012,3,125.46,106.31
O0331,P017,5,527.76,140.67
O0332,P014,1,228.68,119.1
O0333,P002,1,1530.05,128.58
O0334,P088,3,1965.59,58.88
O0335,P009,3,919.32,97.27
O0336,P033,4,4726.69,221.85
O0337,P014,4,763.9,21.89
O0338,P057,5,1740.21,248.33
O0339,P078,3,4741.67,76.24
O0340,P038,5,3700.88,197.21
O0341,P036,1,4100.82,130.02
O0342,P088,4,3861.33,27.54
O0343,P038,4,4173.28,39.36
O0344,P082,2,1583.88,90.75
O0345,P010,5,2300.43,187.42
O0346,P070,5,280.15,291.16
O0347,P099,2,1316.33,206.11
O0348,P097,1,1724.82,242.94
O0349,P029,5,2602.31,165.26
O0350,P048,5,2016.56,236.26
O0351,P045,3,4988.74,155.18
O0352,P094,4,794.21,107.33
O0353,P045,4,2433.2,142.69
O0354,P006,3,4069.91,52.22
O0355,P095,2,1295.17,68.85
O0356,P030,2,4009.0,196.33
O0357,P004,4,3713.2,267.27
O0358,P001,1,3553.2,77.62
O0359,P047,3,1697.33,148.11
O0360,P077,1,2004.33,129.91
O0361,P080,3,945.38,208.6
O0362,P041,2,677.52,105.51
O0363,P054,4,3022.49,180.95
O0364,P072,2,917.64,100.87
O0365,P046,2,4764.03,155.69
O0366,P053,4,3455.01,136.38
O0367,P073,3,251.22,233.1
O0368,P069,5,1514.48,238.61
O0369,P074,3,659.61,237.03
O0370,P070,2,1170.86,139.04
O0371,P034,4,1808.03,248.68
O0372,P095,5,2980.83,118.18
O0373,P079,2,782.25,77.85
O0374,P077,3,2739.97,110.62
O0375,P018,1,4817.58,239.99
O0376,P032,2,816.59,110.19
O0377,P019,4,2929.39,95.24
O0378,P082,4,3993.53,235.29
O0379,P059,1,4756.24,111.64
O0380,P082,1,3354.3,120.3
O0381,P055,3,4141.75,158.52
O0382,P073,1,4276.87,240.73
O0383,P003,4,708.76,260.14
O0384,P026,3,4978.9,274.63
O0385,P084,2,1866.13,43.08
O0386,P093,1,3527.26,85.56
O0387,P028,2,2436.35,57.16
O0388,P002,4,3508.43,248.79
O0389,P010,1,1221.84,45.01
O0390,P039,2,771.93,236.57
O0391,P068,2,2860.13,190.89
O0392,P081,5,3766.52,277.57
O0393,P012,1,4493.31,59.2
O0394,P055,3,1641.07,59.15
O0395,P071,3,3044.9,221.93
O0396,P027,4,2636.97,162.67
O0397,P064,5,1990.84,87.5
O0398,P047,5,4676.23,56.96
O0399,P098,1,2407.97,296.46
O0400,P034,4,1157.14,278.32
O0401,P055,5,3538.87,43.08
O0402,P011,2,1618.54,163.17
O0403,P076,1,3208.04,253.67
O0404,P008,1,1297.95,278.9
O0405,P086,1,3734.3,227.38
O0406,P021,5,2532.42,117.08
O0407,P048,3,721.96,238.71
O0408,P043,1,4054.83,96.15
O0409,P059,5,2602.83,35.52
O0410,P033,1,3889.31,270.4
O0411,P006,1,4307.58,23.44
O0412,P020,1,976.91,288.9
O0413,P042,3,1316.49,276.44
O0414,P016,2,2560.0,272.54
O0415,P052,3,437.74,150.23
O0416,P012,2,2810.15,22.23
O0417,P060,2,1904.54,292.12
O0418,P001,5,4668.75,26.69
O0419,P001,3,3818.75,125.36
O0420,P054,2,2510.94,36.77
O0421,P006,5,4614.24,271.24
O0422,P096,2,516.02,46.76
O0423,P076,2,2882.32,141.8
O0424,P041,3,4637.61,130.03
O0425,P030,5,465.97,76.76
O0426,P022,1,2302.88,107.93
O0427,P058,1,1610.71,94.2
O0428,P091,3,3514.7,31.29
O0429,P046,3,2041.6,33.71
O0430,P052,5,4287.55,175.67
O0431,P014,1,4039.09,59.14
O0432,P026,1,4136.0,124.23
O0433,P003,4,4986.09,75.37
O0434,P016,2,309.21,149.08
O0435,P064,2,244.46,211.3
O0436,P036,1,1471.29,267.36
O0437,P064,1,2118.76,174.19
O0438,P018,5,2154.25,199.94
O0439,P092,4,1859.65,172.46
O0440,P050,5,1425.13,27.3
O0441,P008,3,4062.4,152.07
O0442,P013,5,1314.5,87.52
O0443,P074,3,4247.87,243.27
O0444,P076,3,1658.22,226.67
O0445,P073,2,2861.67,177.67
O0446,P063,5,286.02,35.73
O0447,P001,2,1725.5,191.96
O0448,P008,2,207.37,184.25
O0449,P010,4,1930.59,283.74
O0450,P039,4,1680.76,293.24
O0451,P023,5,3565.2,177.35
O0452,P049,2,1603.43,212.78
O0453,P099,5,4829.4,29.07
O0454,P064,2,789.15,228.7
O0455,P082,3,4438.07,44.84
O0456,P027,3,1322.75,38.98
O0457,P050,2,2247.28,137.5
O0458,P045,4,2775.52,48.4
O0459,P058,3,461.18,256.81
O0460,P014,4,463.58,67.63
O0461,P044,4,3010.75,191.82
O0462,P084,2,908.49,269.13
O0463,P027,5,4874.55,134.6
O0464,P039,5,1263.99,33.9
O0465,P007,3,1868.06,139.73
O0466,P013,3,226.1,67.83
O0467,P040,3,3945.9,151.86
O0468,P048,4,4438.91,123.43
O0469,P060,5,1390.66,254.38
O0470,P011,4,3373.89,246.29
O0471,P050,5,4110.19,137.22
O0472,P061,1,1564.38,130.55
O0473,P016,2,4751.35,145.73
O0474,P006,4,2174.54,296.72
O0475,P041,1,4562.94,275.97
O0476,P071,4,1698.02,97.34
O0477,P015,5,2130.77,61.5
O0478,P073,5,3919.77,240.01
O0479,P050,4,3308.46,180.17
O0480,P052,4,804.88,190.42
O0481,P089,3,1264.14,228.81
O0482,P039,1,1623.65,256.0
O0483,P096,3,2271.24,251.23
O0484,P025,4,2264.41,275.76
O0485,P008,3,2624.82,64.51
O0486,P018,5,3924.53,166.8
O0487,P026,4,4201.19,89.86
O0488,P036,4,1904.92,149.98
O0489,P031,2,1925.09,186.33
O0490,P021,1,4204.5,92.42
O0491,P007,2,898.25,180.23
O0492,P035,1,3292.78,163.72
O0493,P077,5,4024.24,82.66
O0494,P049,2,4272.77,148.52
O0495,P075,3,601.33,163.22
O0496,P088,3,629.71,37.87
O0497,P034,3,3314.99,286.61
O0498,P008,5,4046.61,244.66
O0499,P093,3,224.73,159.26
O0500,P050,5,3709.99,183.25
O0501,P088,3,2719.71,239.77
O0502,P085,1,4394.82,70.72
O0503,P093,2,4060.88,233.62
O0504,P029,3,1840.89,228.38
O0505,P034,1,2969.3,149.85
O0506,P061,4,4458.19,160.13
O0507,P007,2,4367.16,62.22
O0508,P019,1,1650.28,220.39
O0509,P041,3,3209.04,21.32
O0510,P063,2,3947.53,238.33
O0511,P052,1,2202.22,153.67
O0512,P002,5,4470.83,231.92
O0513,P081,3,3694.66,83.35
O0514,P050,1,2566.35,105.71
O0515,P059,3,3666.38,186.98
O0516,P063,4,1860.33,72.76
O0517,P094,1,4925.91,79.13
O0518,P016,1,1896.3,202.15
O0519,P077,1,4973.93,205.35
O0520,P057,4,1963.24,173.24
O0521,P089,4,3460.13,22.61
O0522,P080,1,3067.61,58.41
O0523,P015,5,3945.32,159.37
O0524,P046,1,3546.84,102.7
O0525,P089,1,4672.31,112.57
O0526,P074,1,3378.21,61.76
O0527,P093,2,3645.52,273.34
O0528,P060,1,345.39,247.69
O0529,P055,1,3718.85,46.6
O0530,P043,5,1851.88,142.56
O0531,P044,4,996.06,132.22
O0532,P054,1,3279.35,243.13
O0533,P014,5,2138.54,185.41
O0534,P079,1,1960.78,120.41
O0535,P063,1,653.39,135.16
O0536,P002,5,3552.38,209.82
O0537,P067,1,2663.21,216.16
O0538,P045,2,3352.18,199.59
O0539,P083,4,4678.42,161.56
O0540,P097,3,2509.08,87.45
O0541,P071,2,3252.25,132.92
O0542,P074,4,2295.68,259.84
O0543,P096,4,3301.53,48.74
O0544,P078,5,4819.54,198.51
O0545,P044,2,1880.38,35.2
O0546,P092,1,3320.12,220.46
O0547,P044,3,1840.18,197.43
O0548,P090,4,620.98,271.13
O0549,P033,4,3093.17,72.51
O0550,P092,1,1755.87,232.0
O0551,P059,2,3326.44,287.73
O0552,P071,4,4683.01,254.87
O0553,P094,5,4094.7,49.0
O0554,P054,2,4899.55,276.45
O0555,P038,4,2318.94,57.34
O0556,P090,5,2784.25,107.9
O0557,P027,3,3158.42,101.36
O0558,P065,1,2758.21,198.33
O0559,P075,4,2896.13,206.8
O0560,P002,2,2661.38,27.08
O0561,P035,3,3775.91,65.06
O0562,P008,5,3483.91,102.64
O0563,P014,5,3118.93,209.15
O0564,P066,3,3943.11,243.67
O0565,P050,3,2141.17,240.67
O0566,P096,4,1331.57,193.76
O0567,P100,4,3652.08,74.18
O0568,P023,1,3701.89,53.42
O0569,P017,1,888.55,256.88
O0570,P006,1,853.15,110.34
O0571,P074,3,2795.78,40.41
O0572,P067,4,434.06,161.44
O0573,P045,3,1183.87,79.74
O0574,P028,4,4756.51,193.12
O0575,P086,5,1795.44,87.3
O0576,P088,1,4439.73,126.78
O0577,P004,3,4565.55,250.19
O0578,P063,2,314.87,271.52
O0579,P013,5,920.23,287.76
O0580,P027,4,3384.64,236.6
O0581,P083,2,4102.1,40.19
O0582,P005,3,528.85,35.2
O0583,P034,4,2097.4,146.32
O0584,P050,5,3399.16,169.75
O0585,P046,3,4647.43,49.72
O0586,P098,1,4640.79,126.8
O0587,P018,5,3759.09,243.1
O0588,P087,3,4446.19,290.3
O0589,P006,5,124.65,187.06
O0590,P027,3,3766.65,272.99
O0591,P021,3,1001.56,192.73
O0592,P086,5,4018.33,258.63
O0593,P086,5,430.08,47.5
O0594,P017,3,3389.35,85.67
O0595,P041,3,2480.72,111.94
O0596,P041,3,4797.43,67.22
O0597,P036,3,4216.54,57.61
O0598,P046,1,3896.36,156.35
O0599,P018,1,4467.36,75.0
O0600,P065,5,3194.97,247.54
O0601,P071,5,1377.02,270.32
O0602,P051,3,1194.2,236.2
O0603,P051,2,1882.94,22.97
O0604,P058,5,880.19,178.58
O0605,P046,2,298.06,233.21
O0606,P030,3,309.76,77.9
O0607,P006,1,295.53,201.59
O0608,P095,2,1390.25,172.42
O0609,P076,5,3301.35,253.93
O0610,P067,3,2088.63,248.83
O0611,P065,2,4421.97,143.17
O0612,P028,5,836.18,64.06
O0613,P054,4,4074.75,221.67
O0614,P027,4,2994.88,201.23
O0615,P017,5,2910.08,65.12
O0616,P022,4,1365.47,70.41
O0617,P011,4,1161.31,189.83
O0618,P053,2,3044.11,242.49
O0619,P022,4,3648.52,115.95
O0620,P049,2,1988.76,50.4
O0621,P020,5,3067.0,69.68
O0622,P012,5,2462.98,56.49
O0623,P067,5,2161.35,264.95
O0624,P099,5,1968.06,184.93
O0625,P033,1,2437.99,85.1
O0626,P025,1,126.8,228.22
O0627,P067,3,135.25,203.27
O0628,P020,3,2187.75,183.9
O0629,P079,2,1450.25,210.57
O0630,P048,3,2839.56,155.45
O0631,P095,1,776.54,261.87
O0632,P090,5,4751.3,48.08
O0633,P021,1,2006.61,198.05
O0634,P012,1,413.99,82.1
O0635,P052,5,3108.43,165.88
O0636,P057,5,152.48,258.16
O0637,P077,5,2601.68,215.57
O0638,P031,1,3309.59,293.18
O0639,P086,5,2036.2,184.1
O0640,P071,5,1494.02,252.33
O0641,P029,4,3071.18,74.47
O0642,P023,1,2094.96,49.81
O0643,P015,5,4034.42,287.88
O0644,P049,3,2859.53,235.59
O0645,P076,3,4323.91,154.95
O0646,P087,4,3535.76,244.05
O0647,P090,1,4177.67,89.51
O0648,P071,3,4663.84,153.44
O0649,P096,4,3447.23,274.78
O0650,P095,2,1286.08,94.31
O0651,P020,1,3916.8,53.57
O0652,P098,4,4299.74,288.24
O0653,P074,5,4356.97,157.43
O0654,P097,4,2925.66,35.16
O0655,P051,4,4315.96,237.25
O0656,P041,2,3477.13,23.31
O0657,P047,5,3102.61,92.72
O0658,P061,2,4796.78,116.07
O0659,P054,4,3533.49,124.25
O0660,P074,2,742.58,181.25
O0661,P072,2,2217.87,126.65
O0662,P002,5,965.38,159.89
O0663,P039,1,1329.77,260.38
O0664,P008,1,1155.79,91.2
O0665,P047,3,1865.5,176.1
O0666,P016,5,1820.34,210.28
O0667,P046,4,1692.94,162.92
O0668,P060,2,3195.39,60.56
O0669,P081,1,3100.32,133.34
O0670,P030,3,1636.06,202.84
O0671,P057,5,3926.77,282.86
O0672,P022,2,1001.04,26.47
O0673,P027,1,917.86,48.84
O0674,P099,1,2045.36,234.2
O0675,P011,3,3308.68,267.93
O0676,P057,2,3169.76,56.76
O0677,P042,5,4334.78,150.81
O0678,P090,4,2742.51,185.43
O0679,P045,1,2460.09,83.6
O0680,P053,1,1373.05,105.0
O0681,P037,4,2399.07,22.33
O0682,P002,5,3852.76,243.43
O0683,P025,4,2117.51,176.96
O0684,P049,2,1180.9,42.18
O0685,P084,4,3740.34,246.47
O0686,P018,5,1519.02,198.33
O0687,P025,5,1671.15,62.6
O0688,P037,1,1419.06,220.25
O0689,P002,3,2518.54,115.74
O0690,P090,2,3977.98,112.47
O0691,P010,3,2761.64,70.85
O0692,P099,4,3601.94,127.74
O0693,P059,2,3703.08,46.31
O0694,P042,5,877.2,223.91
O0695,P062,1,3228.75,75.64
O0696,P031,2,3201.25,110.86
O0697,P032,4,143.76,31.76
O0698,P099,1,538.45,64.16
O0699,P008,5,1842.04,63.1
O0700,P030,3,1652.02,176.34
O0701,P089,3,1951.07,222.83
O0702,P072,2,1544.1,215.17
O0703,P042,5,3688.77,97.09
O0704,P068,3,859.62,102.79
O0705,P001,2,3902.0,161.67
O0706,P042,5,3632.92,204.32
O0707,P099,3,2802.19,191.65
O0708,P013,2,2663.68,38.67
O0709,P014,5,2478.31,47.65
O0710,P068,1,3157.46,185.28
O0711,P002,4,4658.03,78.45
O0712,P047,4,2834.3,282.71
O0713,P068,3,299.2,39.71
O0714,P013,2,3653.34,168.87
O0715,P073,5,3164.09,70.09
O0716,P087,1,2347.73,206.27
O0717,P065,5,1753.81,64.29
O0718,P071,3,4958.17,110.9
O0719,P078,4,1279.54,172.78
O0720,P058,1,2292.75,131.19
O0721,P039,2,132.19,295.63
O0722,P071,5,2605.23,179.79
O0723,P059,3,1842.71,58.75
O0724,P033,4,4074.26,45.73
O0725,P093,4,1690.99,155.11
O0726,P005,1,3680.87,181.36
O0727,P045,1,4410.98,141.61
O0728,P082,3,3909.35,127.1
O0729,P070,2,2868.07,111.51
O0730,P058,1,3788.92,181.07
O0731,P051,4,825.26,114.13
O0732,P034,2,516.89,160.51
O0733,P072,5,1070.73,130.69
O0734,P032,3,451.06,237.5
O0735,P086,2,2126.55,122.27
O0736,P099,5,1593.61,296.54
O0737,P006,3,4628.64,85.38
O0738,P095,2,367.24,285.7
O0739,P089,4,4040.98,105.43
O0740,P095,5,2736.23,77.06
O0741,P080,1,3676.63,59.58
O0742,P033,5,934.57,99.52
O0743,P084,3,4731.36,38.65
O0744,P003,4,1533.23,267.35
O0745,P041,1,2474.84,187.19
O0746,P072,2,4639.11,26.02
O0747,P063,3,2027.66,63.96
O0748,P081,5,1581.4,298.88
O0749,P050,1,4462.97,248.16
O0750,P020,2,1774.75,130.0
O0751,P054,3,1277.77,62.77
O0752,P070,5,745.68,202.69
O0753,P040,2,3473.81,271.62
O0754,P041,1,432.29,169.23
O0755,P094,4,244.47,109.23
O0756,P096,3,4675.47,270.36
O0757,P017,5,1005.26,233.49
O0758,P077,3,1237.69,212.47
O0759,P065,3,4246.08,151.25
O0760,P061,1,773.81,74.11
O0761,P053,2,1190.52,207.97
O0762,P023,5,4642.81,295.98
O0763,P032,5,2195.02,237.34
O0764,P051,5,3096.37,227.89
O0765,P067,1,635.65,147.93
O0766,P095,1,292.33,128.47
O0767,P051,3,4433.55,236.63
O0768,P038,5,3104.36,35.27
O0769,P012,5,3640.97,51.69
O0770,P053,4,1684.96,26.98
O0771,P012,2,1325.4,213.68
O0772,P015,1,3560.51,197.54
O0773,P049,2,2796.69,32.29
O0774,P019,4,976.45,219.37
O0775,P037,2,3169.62,52.92
O0776,P002,5,2347.35,259.52
O0777,P028,4,2985.43,153.2
O0778,P032,5,4422.62,97.87
O0779,P019,2,369.81,117.73
O0780,P012,2,340.25,136.75
O0781,P059,1,3771.74,120.85
O0782,P048,4,4497.9,249.67
O0783,P061,3,759.27,214.49
